Parameter,S1,S1_conf
A.0_ID flood wave shape,-0.0011099601226736589,0.0036011209988497397
A.1_Bmax,0.0016626557992526977,0.0028053142399522522
A.1_Brate,-7.313955608675681e-05,0.0002290197677377631
A.1_pfail,0.5393886248215594,0.08731844810494618
A.2_Bmax,0.00029108702119716055,0.0005458888558906475
A.2_Brate,6.81242581760557e-05,0.0001350114002851934
A.2_pfail,0.009305605872703479,0.014474750461018732
A.3_Bmax,-0.0005478591511742459,0.0006013267962512421
A.3_Brate,5.115024260688366e-05,0.00015783069181339693
A.3_pfail,0.14531568611957377,0.04956069507105981
A.4_Bmax,-8.516920579246061e-05,0.0001596804237616
A.4_Brate,8.308520926898717e-05,9.561571650961538e-05
A.4_pfail,-0.0020199838139573997,0.0030148818224729696
A.5_Bmax,0.0,0.0
A.5_Brate,0.0,0.0
A.5_pfail,0.015502559082739512,0.01223670923639981
discount rate 0,0.0030403481515275527,0.012281728460188419
discount rate 1,0.000316217228434844,0.006777841676999216
discount rate 2,0.0043964044997526356,0.005734124663804709
